airport￨root
one￨nummod way￨root
ci0￨compound airport￨root
ground￨root ci0￨punct
code￨compound al0￨root
ci0￨compound airport￨root
al0￨root fn0￨flat
describ￨root ap0￨flat
ground￨compound transport￨root ci0￨punct
ground￨compound transport￨root ci0￨punct
what￨root is￨cop sa￨appos
what￨nsubj is￨cop ap0￨root
what￨nsubj is￨cop ap0￨root
onli￨discourse show￨root al0￨punct
explain￨root restrict￨xcomp rc0￨punct
show￨root me￨iobj all￨det flight￨obj from￨case ci0￨nmod to￨case ci1￨obl on￨case a￨det da0￨obl with￨case round￨amod trip￨compound fare￨nmod less￨advmod than￨case do0￨obl
which￨nsubj of￨case the￨det flight￨nmod from￨case ci0￨nmod to￨case ci1￨nmod on￨case mn0￨compound dn0￨compound yr0￨nmod carri￨root the￨det smallest￨amod number￨obj of￨case passeng￨nmod
i￨nsubj would￨aux like￨root inform￨xcomp on￨case ani￨compound flight￨obl from￨case ci0￨nmod to￨case ci1￨compound arriv￨obl in￨case ci1￨nmod befor￨case ti0￨compound da0￨compound morn￨obl
pleas￨nsubj list￨root all￨nsubj of￨case the￨det flight￨nmod leav￨ccomp ci0￨compound head￨obj to￨case ci1￨obl after￨case ti0￨det da0￨obl and￨cc befor￨case ti1￨conj da1￨punct
i￨nsubj need￨root a￨det plane￨obj that￨nsubj arriv￨acl:relcl in￨case ci0￨obl by￨case ti0￨nummod o'clock￨nummod pm￨obl on￨case da0￨nmod and￨cc leav￨conj from￨case ci1￨obl
now￨advmod i￨nsubj 'd￨aux like￨root a￨det schedul￨obj for￨case the￨det flight￨nmod on￨case da0￨det morn￨nmod from￨case ci1￨nmod no￨discourse from￨case ci0￨obl to￨nmod ci2￨punct
on￨case al0￨det fn￨obl 0￨nummod from￨case ci0￨nmod to￨case ci1￨nmod can￨aux you￨nsubj tell￨root me￨iobj what￨det type￨nsubj of￨case aircraft￨nmod use￨ccomp befor￨advmod ti0￨punct
show￨root me￨iobj all￨det flight￨obj from￨case ci0￨nmod to￨case ci1￨obl on￨case mn0￨compound dn0￨obl arriv￨conj around￨advmod ti0￨nummod o'clock￨obl:tmod in￨case the￨det even￨advmod
on￨case the￨det flight￨obl from￨case ci1￨nmod to￨case ci0￨nmod on￨case al0￨compound leav￨nmod at￨case ti0￨advmod what￨det type￨nsubj of￨case aircraft￨nmod is￨aux use￨root
show￨root me￨iobj all￨det flight￨compound direct￨amod onli￨obj from￨case ci1￨nmod to￨case ci0￨obl or￨cc ci2￨conj that￨det arriv￨obj befor￨case ti0￨det local￨amod time￨obl
i￨nsubj 'd￨aux like￨root to￨mark have￨xcomp some￨det inform￨obj on￨case a￨det ticket￨nmod from￨case ci0￨nmod to￨mark ci1￨advcl with￨case a￨det stop￨obl in￨nmod ci2￨punct
can￨aux i￨nsubj have￨root a￨det list￨obj of￨case all￨det:predet the￨det da0￨compound flight￨nmod from￨case ci0￨nmod to￨mark ci1￨advcl that￨nsubj leav￨ccomp after￨advmod ti0￨punct
what￨det first￨amod class￨nsubj airplan￨aux goe￨root from￨case ci1￨obl to￨case ci0￨obl and￨cc stop￨conj in￨case ci2￨obl in￨case the￨det afternoon￨obl on￨nmod da0￨punct
i￨nsubj need￨root to￨mark take￨xcomp ten￨nummod peopl￨obj from￨case ci0￨obl to￨case ci1￨det pleas￨obl give￨advcl me￨iobj the￨det flight￨obj dure￨case the￨det week￨nmod
is￨root there￨expl a￨det direct￨amod flight￨nsubj from￨case ci0￨nmod to￨mark ci1￨acl in￨case the￨det morn￨obl of￨case mn0￨compound dn0￨nmod that￨nsubj is￨cop nonstop￨acl:relcl
can￨aux you￨nsubj show￨root me￨obj what￨det fare￨nsubj are￨aux avail￨ccomp from￨case ci0￨obl to￨mark ci1￨advcl on￨case mn0￨obl dn0￨case one￨nummod way￨obl onli￨punct
i￨nsubj need￨root a￨det flight￨obj from￨case ci0￨nmod to￨case ci1￨det next￨amod da0￨obl that￨nsubj reach￨acl:relcl ci1￨obj around￨case ti0￨obl in￨case the￨det even￨advmod
can￨aux you￨nsubj help￨root me￨obj with￨case ground￨compound transport￨obl inform￨advcl i￨nsubj need￨ccomp to￨mark get￨xcomp from￨case the￨det ap0￨obl to￨case downtown￨obl ci0￨punct
show￨root me￨iobj all￨det flight￨obj from￨case ci0￨nmod to￨case ci1￨nmod on￨case da0￨obl which￨nsubj serv￨acl:relcl a￨det meal￨obj and￨cc arriv￨conj befor￨advmod ti0￨punct
show￨root me￨iobj all￨det flight￨obj from￨case ci0￨nmod to￨case ci1￨nmod which￨nsubj leav￨acl:relcl after￨case ti0￨nummod o'clock￨compound pm￨obl the￨det day￨nmod:tmod after￨advmod tomorrow￨obl:tmod
i￨nsubj would￨aux like￨root a￨det flight￨obj from￨case ci1￨nmod to￨mark ci0￨advcl that￨det arriv￨obj in￨case ci0￨obl around￨case ti0￨obl and￨cc is￨cop nonstop￨conj
i￨nsubj need￨root to￨mark take￨xcomp ten￨nummod peopl￨obj from￨case ci1￨obl to￨mark ci0￨advcl pleas￨obj give￨conj me￨iobj the￨det flight￨obj dure￨compound week￨compound day￨obl:tmod
i￨nsubj 'd￨aux like￨root to￨mark take￨xcomp a￨det flight￨obj from￨case ci0￨det stop￨obl in￨case ci2￨nmod and￨cc with￨case my￨nmod:poss final￨amod destin￨compound al0￨conj ci1￨punct
what￨root are￨cop first￨amod class￨compound and￨cc coach￨conj fare￨nsubj for￨case flight￨nmod from￨case ci1￨nmod to￨case ci0￨compound arriv￨nmod around￨case ti0￨det next￨amod da0￨nmod
what￨root is￨cop the￨det earliest￨amod flight￨compound leav￨compound ci0￨nsubj and￨cc arriv￨conj in￨case ci1￨nmod on￨case al0￨det first￨amod class￨nmod on￨case mn0￨nmod dn0￨punct
i￨nsubj would￨aux like￨root to￨mark book￨xcomp a￨det flight￨obj on￨case al0￨det first￨amod class￨obl from￨case ci0￨obl to￨mark ci1￨advcl on￨case mn0￨obl dn0￨punct
i￨nsubj want￨root to￨mark leav￨xcomp befor￨case ti0￨obl in￨case the￨det morn￨obl what￨det flight￨obj should￨aux i￨nsubj take￨ccomp to￨mark ci0￨xcomp from￨case ci1￨obl
i￨nsubj would￨aux like￨root the￨det time￨obj of￨case your￨nmod:poss earliest￨amod flight￨nmod in￨case the￨det morn￨nmod from￨case ci0￨nmod to￨mark ci1￨advcl on￨case al0￨obl
i￨nsubj would￨aux like￨root to￨mark fli￨xcomp al0￨obj from￨case ci0￨obl to￨mark ci1￨advcl in￨case the￨det late￨obl even￨advmod what￨obj do￨aux you￨nsubj have￨parataxis avail￨obj
show￨root me￨iobj all￨det flight￨obj both￨cc:preconj direct￨amod and￨cc connect￨conj from￨case ci0￨obl to￨case either￨cc:preconj ci1￨obl or￨cc ci2￨conj that￨nsubj depart￨acl:relcl after￨advmod ti0￨punct
i￨nsubj would￨aux like￨root to￨mark fli￨xcomp to￨mark ci0￨xcomp for￨obl under￨case do0￨det pleas￨obl show￨advcl me￨iobj the￨det airfar￨obj between￨case ci1￨nmod and￨cc ci0￨conj
show￨root me￨iobj all￨det flight￨obj both￨cc:preconj direct￨amod and￨cc connect￨conj to￨case either￨cc:preconj ci0￨obl or￨cc ci1￨conj from￨case ci￨nmod 2￨nummod that￨nsubj arriv￨acl:relcl befor￨advmod ti0￨punct
i￨nsubj would￨aux like￨root to￨mark fli￨xcomp from￨case ci0￨obl to￨case ci1￨nmod:poss pleas￨obl tell￨advcl me￨obj what￨ccomp are￨cop the￨det time￨nsubj of￨case the￨det flight￨nmod
what￨det kind￨nsubj of￨case aircraft￨nmod is￨aux use￨root on￨case first￨amod class￨compound al0￨compound flight￨obl from￨case ci1￨obl to￨case ci0￨obl with￨case a￨det ci2￨obl stopov￨punct
okay￨discourse i￨nsubj would￨aux like￨root to￨mark know￨xcomp the￨det type￨obj of￨case aircraft￨compound use￨nmod on￨case a￨det flight￨obl from￨case ci0￨nmod to￨case ci1￨compound pleas￨nmod
show￨root me￨iobj first￨amod class￨compound round￨amod trip￨compound flight￨obj from￨case ci0￨nmod to￨case ci1￨obl i￨nsubj want￨parataxis the￨det cheapest￨amod first￨amod class￨compound fare￨compound pleas￨obj
list￨compound number￨root of￨case peopl￨nmod that￨nsubj:pass can￨aux be￨aux:pass carri￨acl:relcl on￨case each￨det type￨obl of￨case plane￨nmod that￨nsubj fli￨acl:relcl between￨case ci0￨obl and￨cc ci1￨conj
flight￨root from￨case ci0￨compound ci1￨nmod and￨cc ci2￨conj to￨mark ci3￨acl where￨mark the￨det round￨amod trip￨compound fare￨nsubj for￨case each￨nmod is￨cop less￨ccomp than￨case do0￨obl
i￨nsubj want￨root to￨mark go￨xcomp from￨case ci0￨obl to￨case ci1￨det round￨amod trip￨obl and￨cc make￨conj a￨det stop￨obj at￨case ci2￨obl is￨cop this￨nsubj possibl￨parataxis
on￨case flight￨compound al0￨compound fn0￨root from￨case ci0￨nmod to￨mark ci1￨acl what￨det time￨obj and￨cc what￨conj citi￨compound doe￨nsubj the￨det plane￨nsubj stop￨acl:relcl in￨advmod between￨advmod
list￨root nonstop￨amod flight￨obj on￨case da0￨obl from￨case ci0￨obl to￨case ci1￨obl and￨cc list￨conj nonstop￨amod flight￨conj on￨case da0￨nmod from￨case ci2￨nmod to￨case ci1￨nmod
find￨root me￨iobj the￨det earliest￨amod flight￨obj from￨case ci0￨nmod to￨case ci1￨nmod and￨cc the￨det latest￨amod return￨conj to￨case ci0￨nmod on￨case the￨det same￨amod day￨nmod
is￨root there￨expl a￨det flight￨nsubj from￨case ci0￨nmod to￨case ci1￨nmod which￨nsubj leav￨acl:relcl ci0￨obj in￨case the￨det afternoon￨obl and￨cc arriv￨conj close￨xcomp to￨obl ti0￨punct
pleas￨nsubj inform￨root me￨iobj the￨det type￨obj of￨case aircraft￨compound use￨nmod on￨case a￨det flight￨nmod from￨case ci0￨nmod to￨case ci1￨nmod befor￨case ti0￨nummod o'clock￨nmod ti0￨punct
i￨nsubj want￨root to￨mark fli￨xcomp from￨case ci0￨obl to￨case ci1￨det next￨amod da0￨compound arriv￨obl in￨case the￨nmod even￨advmod and￨cc return￨conj the￨det next￨amod day￨obl:tmod
show￨root me￨obj ani￨mark show￨xcomp me￨iobj what￨det first￨amod class￨compound fare￨nsubj are￨cop of￨case the￨det flight￨ccomp from￨case ci1￨nmod to￨mark ci0￨acl on￨obl da0￨punct
list￨root all￨det flight￨obj from￨case ci0￨nmod to￨case ci1￨obl on￨case al0￨nmod which￨nsubj depart￨acl:relcl on￨case da0￨obl befor￨case ti0￨obl and￨cc includ￨conj a￨det meal￨obj
in￨case economi￨compound class￨obl from￨case ci0￨nmod to￨case ci1￨compound arriv￨nummod m￨compound n0￨compound dn0￨nmod i￨nsubj 'd￨aux like￨root to￨mark know￨xcomp what￨obj the￨det cheapest￨amod ticket￨obj possibl￨punct
pleas￨nsubj give￨root me￨iobj a￨det flight￨compound leav￨obj ci0￨discourse go￨parataxis to￨case ci1￨det arriv￨obl in￨case ci1￨obl at￨case ti0￨nummod o'clock￨obl in￨case the￨det afternoon￨nmod
show￨root me￨iobj the￨det flight￨obj with￨case the￨det smallest￨amod seat￨compound capac￨nmod which￨nsubj leav￨acl:relcl ci0￨obj and￨cc arriv￨conj in￨case ci1￨obl on￨case mn0￨obl dn0￨punct
i￨nsubj 'd￨aux like￨root to￨mark find￨xcomp a￨det al0￨amod flight￨obj from￨case ci0￨nmod to￨case ci1￨obl that￨nsubj arriv￨acl:relcl around￨advmod ti0￨nummod o'clock￨obl:tmod in￨case the￨det even￨advmod
i￨nsubj 'd￨aux like￨root a￨det flight￨obj leav￨case ci0￨compound mn0￨compound dn0￨nmod and￨cc arriv￨conj in￨case ci1￨det colorado￨compound mn0￨compound dn0￨compound leav￨nmod in￨case the￨det afternoon￨nmod
i￨nsubj would￨aux like￨root a￨det flight￨obj that￨nsubj leav￨acl:relcl on￨case da0￨obl from￨case ci0￨obl to￨case ci1￨obl that￨nsubj make￨acl:relcl a￨det stop￨obj in￨nmod ci2￨punct
show￨root me￨iobj all￨det:predet the￨det flight￨obj from￨case ci0￨nmod and￨cc all￨det:predet the￨det flight￨conj from￨case ci1￨nmod that￨nsubj arriv￨acl:relcl at￨case ci2￨obl around￨advmod ti0￨punct
what￨root are￨cop the￨det morn￨compound flight￨nsubj from￨case ci1￨nmod to￨case ci2￨nmod and￨cc from￨case ci1￨conj to￨case ci0￨nmod in￨case the￨det next￨amod two￨nummod day￨nmod
what￨nsubj airlin￨nsubj is￨cop the￨det flight￨compound origin￨root in￨case ci1￨nmod on￨case mn￨nmod 0￨nummod dn0￨nmod at￨case ti0￨nmod and￨cc arriv￨conj in￨case ci0￨nmod at￨case ti1￨nmod
i￨nsubj 'm￨aux look￨root for￨case a￨det flight￨obl from￨case ci0￨nmod to￨case ci1￨nmod that￨nsubj has￨acl:relcl no￨det stopov￨obj and￨cc is￨cop onli￨conj in￨case the￨det afternoon￨obl
i￨nsubj need￨root a￨det flight￨obj from￨case ci1￨nmod to￨case ci0￨compound leav￨obl in￨case the￨det afternoon￨obl and￨cc arriv￨conj in￨mark the￨det even￨advmod thank￨advcl you￨obj
i￨nsubj would￨aux like￨root a￨det flight￨obj on￨case al0￨compound leav￨nmod from￨case ci1￨nmod make￨advcl a￨det stop￨obj in￨case ci2￨nmod and￨cc arriv￨conj in￨case ci0￨obl
now￨advmod i￨nsubj need￨root anoth￨compound flight￨obj from￨case ci0￨nmod to￨case ci1￨obl arriv￨flat also￨advmod in￨case the￨det late￨amod afternoon￨obl what￨nsubj avail￨acl:relcl for￨case that￨obl
i￨nsubj 'd￨aux like￨root to￨mark find￨xcomp a￨det flight￨obj from￨case ci1￨compound florida￨nmod to￨case ci0￨compound nevada￨obl that￨nsubj would￨aux arriv￨acl:relcl befor￨mark ti0￨xcomp on￨advmod da0￨punct
what￨det kind￨nsubj of￨case airplan￨compound goe￨nmod from￨case ci1￨nmod to￨case ci0￨compound da0￨nmod stop￨root in￨case ci2￨obl in￨case the￨det afternoon￨compound first￨amod class￨compound flight￨obl
list￨root the￨det nonstop￨amod flight￨obj on￨case da0￨nmod mn0￨compound dn￨nmod 0￨nummod from￨case ci0￨obl to￨case ci1￨compound arriv￨obl in￨case ci1￨obl between￨case ti0￨nmod and￨cc ti1￨conj
between￨case ci0￨obl and￨cc ci1￨conj i￨nsubj 'd￨aux like￨root a￨det flight￨obj that￨nsubj take￨acl:relcl the￨det least￨amod amount￨obj of￨case stop￨nmod to￨mark get￨acl to￨obl ci0￨punct
i￨nsubj would￨aux like￨root to￨mark schedul￨xcomp a￨det flight￨obj on￨case al0￨nmod from￨case ci1￨obl to￨case ci0￨obl that￨nsubj make￨acl:relcl a￨det stop￨obj in￨nmod ci2￨punct
i￨nsubj 'd￨aux like￨root an￨det afternoon￨compound flight￨obj from￨case ci1￨nmod to￨case ci0￨obl with￨case a￨det stopov￨obl in￨case ci2￨compound arriv￨nmod i￨nsubj 'd￨aux say￨acl:relcl about￨obl mealtim￨punct
i￨nsubj am￨cop interest￨root in￨mark book￨acl an￨det earli￨amod morn￨compound flight￨obj from￨case ci0￨obl into￨case ci1￨obl and￨cc return￨conj in￨case the￨det late￨nmod even￨advmod
list￨root the￨det nonstop￨amod flight￨obj on￨case da0￨nmod mn0￨compound dn￨nmod 0￨nummod from￨case ci0￨obl to￨case ci1￨compound arriv￨obl in￨case ci1￨obl between￨case ti0￨nmod and￨cc ti1￨conj
i￨nsubj would￨aux like￨root to￨mark fli￨xcomp from￨case ci0￨obl to￨mark ci1￨advcl on￨case al0￨obl at￨case the￨det latest￨amod time￨compound possibl￨obl in￨case the￨det even￨advmod
i￨nsubj 'm￨aux look￨root for￨case a￨det flight￨obl that￨nsubj goe￨acl:relcl from￨case ci0￨obl to￨case ci1￨obl on￨case mn0￨compound dn0￨obl and￨cc that￨nsubj leav￨conj after￨advmod ti0￨punct
i￨nsubj 'd￨aux like￨root to￨mark fli￨xcomp from￨case ci0￨obl to￨mark ci1￨advcl to￨case ci2￨obl could￨aux you￨nsubj find￨parataxis me￨iobj the￨det cheapest￨amod way￨obj to￨mark do￨acl this￨obj
i￨nsubj would￨aux like￨root a￨det list￨obj of￨case the￨det round￨amod trip￨compound flight￨nmod between￨case ci0￨nmod and￨cc ci1￨conj on￨case dn0￨nmod or￨cc dn1￨conj of￨case mn0￨nmod
which￨nsubj al0￨root flight￨compound fli￨obj across￨case this￨det contin￨obl and￨cc leav￨conj from￨case ci0￨det goe￨obl to￨case ci1￨nmod and￨cc make￨conj a￨det stopov￨obj in￨nmod ci2￨punct
yes￨discourse i￨nsubj would￨aux like￨root to￨mark find￨xcomp what￨det flight￨nsubj are￨aux avail￨ccomp from￨case ci0￨obl to￨mark ci1￨advcl on￨case the￨det morn￨obl of￨case mn0￨nmod dn0￨punct
do￨aux you￨nsubj have￨root an￨det afternoon￨compound flight￨compound leav￨obj in￨case the￨det afternoon￨nmod go￨parataxis from￨case ci1￨obl to￨mark ci0￨advcl with￨case a￨det stopov￨obl in￨case ci2￨nmod
find￨root travel￨compound arrang￨obj for￨case a￨det round￨amod trip￨compound flight￨obl from￨case ci0￨nmod to￨case ci1￨nmod after￨case ti0￨nummod o'clock￨nummod pm￨obl befor￨case ti1￨nummod o'clock￨nummod pm￨nmod
list￨root the￨det nonstop￨amod flight￨obj from￨case ci1￨obl to￨mark ci0￨advcl on￨case a￨det da0￨obl along￨case with￨case the￨det fare￨obl that￨nsubj are￨cop less￨acl:relcl than￨case do0￨obl
can￨aux you￨nsubj list￨root all￨det nonstop￨amod flight￨obj between￨case ci0￨nmod and￨cc ci1￨conj that￨nsubj leav￨acl:relcl in￨case the￨det afternoon￨obl and￨cc arriv￨conj soon￨advmod after￨advmod ti0￨punct
what￨root is￨cop the￨det cost￨nsubj of￨case a￨det round￨amod trip￨compound ticket￨compound fli￨nmod from￨case ci0￨nmod to￨case ci1￨compound ci1￨nmod to￨case ci2￨compound leav￨compound mn0￨nmod dn0￨punct
give￨root me￨iobj the￨det flight￨obj from￨case ci0￨compound citi￨nmod to￨mark ci1￨advcl on￨case da0￨obl and￨cc the￨det flight￨conj from￨case ci2￨nmod to￨case ci1￨nmod on￨case da0￨nmod
pleas￨nsubj show￨root me￨obj airlin￨advmod with￨case flight￨compound servic￨obl from￨case ci0￨nmod to￨mark ci1￨advcl from￨case ci1￨obl to￨case ci2￨obl and￨cc from￨case ci2￨conj to￨case ci0￨nmod
yes￨discourse on￨case the￨det al0￨compound leav￨compound ci0￨obl at￨case ti0￨det arriv￨nmod ci1￨discourse ti1￨root what￨det type￨nsubj of￨case equip￨nmod is￨aux use￨ccomp on￨case that￨det flight￨obl
show￨root me￨iobj all￨det:predet the￨det inform￨obj about￨case the￨det flight￨nmod from￨case ci0￨nmod to￨case ci1￨nmod which￨nsubj is￨cop list￨acl:relcl al0￨punct fn0￨conj /￨cc al0￨conj fn1￨punct
i￨nsubj need￨root to￨mark take￨xcomp ten￨nummod peopl￨obj from￨case ci1￨obl to￨mark ci0￨advcl with￨case a￨det stopov￨obl in￨case ci2￨det pleas￨nmod give￨advcl me￨iobj the￨det flight￨obj
i￨nsubj would￨aux like￨root to￨mark find￨xcomp a￨det flight￨obj from￨case ci2￨compound north￨compound carolina￨nmod to￨case ci0￨obl i￨nsubj would￨aux like￨parataxis a￨det stopov￨obj in￨nmod ci1￨punct
show￨root me￨iobj all￨det flight￨obj from￨case ci0￨nmod to￨case ci1￨obl on￨case da0￨obl of￨case next￨amod week￨nmod which￨nsubj leav￨acl:relcl ci0￨ccomp after￨case ti0￨obl o'clock￨nummod pm￨obl
i￨nsubj would￨aux like￨root a￨det list￨obj of￨case round￨amod trip￨compound flight￨nmod between￨case ci0￨nmod and￨cc ci1￨conj florida￨obj for￨case dn0￨obl and￨cc dn1￨conj of￨case mn0￨nmod
i￨nsubj would￨aux like￨root a￨obj to￨mark know￨xcomp the￨det type￨obj of￨case aircraft￨compound leav￨nmod from￨case ci0￨obl bound￨amod to￨case ci1￨obl on￨case da0￨obl this￨det week￨obl:tmod
show￨root me￨iobj all￨det flight￨obj from￨case ci0￨nmod to￨case ci1￨nmod on￨case da0￨obl which￨nsubj serv￨acl:relcl a￨det meal￨obj and￨cc arriv￨conj in￨case ci1￨obl befor￨advmod ti0￨punct
can￨aux you￨nsubj pleas￨root show￨xcomp me￨iobj the￨det flight￨obj from￨case ci0￨nmod to￨case ci1￨obl on￨case da0￨obl of￨case next￨amod week￨nmod that￨nsubj arriv￨acl:relcl befor￨advmod ti0￨punct
show￨root me￨iobj the￨det nonstop￨amod flight￨obj from￨case ci0￨nmod to￨mark ci1￨advcl that￨det leav￨obl:tmod in￨case the￨det afternoon￨obl and￨cc arriv￨conj between￨case ti0￨nmod and￨cc ti1￨conj
i￨nsubj need￨root inform￨xcomp on￨case flight￨obl from￨case ci1￨compound missouri￨nmod to￨case ci0￨compound utah￨obl i￨nsubj am￨cop interest￨ccomp in￨case onli￨case those￨det flight￨obl on￨nmod al0￨punct
i￨nsubj need￨root to￨mark know￨xcomp if￨mark there￨expl are￨advcl ani￨det direct￨amod flight￨nsubj from￨case ci0￨compound florida￨nmod to￨mark ci1￨advcl washington￨obj leav￨cc prefer￨conj tomorrow￨compound morn￨obl:tmod
veri￨discourse well￨discourse i￨nsubj 'm￨aux work￨root on￨case scenario￨obl three￨nummod i￨nsubj 'm￨cop interest￨parataxis in￨case a￨det flight￨nmod on￨case a￨det ac0￨nmod from￨case ci0￨nmod to￨case ci1￨compound georgia￨nmod
pleas￨nsubj show￨root me￨iobj flight￨obj which￨nsubj cost￨acl:relcl less￨advmod than￨fixed or￨cc equal￨conj to￨mark do0￨advcl from￨case ci0￨obl to￨case ci1￨compound leav￨obl on￨case a￨det da0￨nmod
find￨root me￨iobj the￨det flight￨obj that￨nsubj are￨cop nonstop￨acl:relcl between￨case ci0￨obl and￨cc ci1￨conj that￨nsubj leav￨acl:relcl between￨case ti0￨obl and￨cc ti1￨conj in￨case the￨det afternoon￨nmod
on￨case m￨obl n￨case 0￨nmod dn0￨punct i￨nsubj 'll￨aux be￨aux travel￨root from￨case ci0￨obl to￨case ci1￨obl can￨aux you￨nsubj tell￨parataxis me￨obj what￨det flight￨nsubj would￨aux be￨cop the￨det cheapest￨ccomp
i￨nsubj want￨root inform￨xcomp on￨case flight￨obl from￨case ci1￨nmod to￨case ci0￨obl i￨nsubj want￨ccomp to￨mark leav￨xcomp da0￨obj after￨case ti0￨obl or￨cc da1￨conj befor￨advmod ti1￨punct
i￨nsubj would￨aux like￨root to￨mark book￨xcomp a￨det flight￨obj for￨case mn￨nmod 0￨nummod dn0￨cc go￨conj from￨case ci0￨obl to￨mark ci1￨advcl a￨det direct￨amod flight￨obj if￨mark possibl￨advcl
show￨root me￨iobj all￨det flight￨obj that￨nsubj go￨acl:relcl from￨case ci0￨obl to￨mark ci1￨advcl on￨case da0￨obl and￨cc go￨conj from￨case ci1￨obl to￨mark ci0￨advcl on￨obl da1￨punct
i￨nsubj am￨cop interest￨root in￨case a￨det flight￨nmod on￨case an￨det aircraft￨compound number￨nmod ac0￨cc i￨nsubj would￨aux like￨conj to￨mark go￨xcomp from￨case ci0￨obl to￨case ci1￨obl
what￨det flight￨nsubj is￨aux avail￨root at￨case ti0￨obl from￨case ci0￨obl to￨case ci￨obl 1￨nummod what￨det flight￨nsubj is￨aux avail￨ccomp around￨case ti0￨obl from￨case ci0￨obl to￨case ci1￨nmod
i￨nsubj would￨aux like￨root to￨mark know￨xcomp the￨det flight￨nsubj avail￨ccomp from￨case ci0￨obl to￨mark ci1￨advcl arriv￨obj in￨case ci1￨obl by￨case ti0￨nummod o'clock￨compound da0￨compound morn￨obl
i￨nsubj will￨aux be￨aux stay￨root downtown￨advmod in￨case ci0￨obl for￨case dn0￨det hour￨obl could￨aux you￨nsubj tell￨parataxis me￨iobj what￨obj the￨det ground￨compound transport￨nsubj is￨aux avail￨ccomp
which￨nsubj is￨cop the￨det flight￨compound number￨nsubj for￨case the￨det al0￨amod flight￨nmod from￨case ci0￨nmod to￨case ci1￨nmod is￨cop it￨nsubj fn0￨root or￨cc is￨cop it￨conj fn1￨punct
how￨advmod much￨amod time￨compound doe￨nsubj it￨expl take￨root to￨mark go￨xcomp between￨case the￨det ap0￨compound airport￨obl and￨cc ci0￨conj downtown￨obj by￨case ground￨compound transport￨obl in￨case ci0￨nmod
show￨root me￨iobj all￨det:predet the￨det flight￨obj from￨case ci0￨nmod to￨case ci1￨nmod that￨nsubj leav￨parataxis after￨mark ti0￨advcl on￨case da0￨obl and￨cc befor￨mark ti0￨conj on￨advmod da1￨punct
i￨nsubj want￨root a￨det flight￨obj from￨case ci0￨nmod to￨mark ci1￨advcl leav￨compound ci0￨obj in￨case the￨det afternoon￨obl arriv￨cc ci1￨conj around￨case ti0￨obl in￨case the￨det afternoon￨obl
i￨nsubj 'd￨aux like￨root a￨det ticket￨obj on￨case a￨det plane￨nmod from￨case ci0￨nmod to￨case ci1￨obl i￨nsubj would￨aux like￨parataxis a￨det coach￨compound class￨obj or￨cc lowest￨amod fare￨compound ticket￨conj
okay￨discourse that￨nsubj sound￨root great￨amod let￨nsubj go￨xcomp from￨case ci0￨obl on￨case m￨compound n￨flat 0￨nummod dn0￨obl in￨case the￨det morn￨obl to￨mark ci1￨case least￨obl expens￨nsubj fare￨parataxis one￨nummod way￨obj
okay￨discourse and￨cc on￨case m￨conj n￨case 0￨nmod dn0￨punct i￨nsubj would￨aux like￨root to￨mark go￨xcomp from￨case ci0￨obl to￨mark ci1￨advcl leav￨xcomp earli￨obj in￨case the￨det morn￨obl around￨advmod ti0￨punct
what￨det kind￨obj of￨case aircraft￨nmod will￨aux i￨nsubj be￨aux fli￨root on￨mark if￨mark i￨nsubj take￨advcl a￨det first￨amod class￨compound al0￨compound flight￨obj from￨case ci0￨nmod to￨case ci1￨nmod
i￨nsubj 'm￨cop tri￨root to￨mark find￨xcomp the￨det flight￨compound number￨obj from￨case a￨det flight￨nmod from￨case ci0￨nmod to￨case ci1￨nmod on￨case al0￨nmod and￨cc it￨nsubj arriv￨conj around￨advmod ti0￨punct
i￨nsubj would￨aux like￨root a￨det nonstop￨amod flight￨obj between￨case ci0￨compound and￨cc ci1￨conj leav￨nmod in￨case the￨det afternoon￨obl and￨cc arriv￨conj in￨case the￨det vicin￨obl of￨case ti0￨nmod
i￨nsubj need￨root to￨mark go￨xcomp from￨case ci0￨obl to￨case ci1￨obl and￨cc back￨advmod in￨case the￨det same￨amod day￨obl find￨conj me￨iobj the￨det earliest￨amod flight￨obj from￨case ci0￨nmod
okay￨discourse we￨nsubj 'r￨aux go￨root from￨case ci0￨obl to￨case ci1￨det first￨amod class￨compound ticket￨obl i￨nsubj 'd￨aux like￨parataxis to￨mark know￨xcomp the￨det cost￨obj of￨case a￨det first￨amod class￨compound ticket￨nmod
could￨aux i￨nsubj have￨root a￨det list￨obj of￨case flight￨nmod in￨case first￨amod class￨nmod on￨case da0￨obl from￨case ci0￨nmod to￨case ci1￨det start￨obl at￨case ti0￨nmod and￨cc afterward￨conj
find￨root me￨iobj the￨det earliest￨amod flight￨obj from￨case ci0￨nmod to￨case ci1￨nmod and￨cc the￨det latest￨amod return￨conj from￨case ci1￨nmod to￨case ci0￨nmod within￨case the￨det same￨amod day￨nmod
show￨root me￨iobj flight￨compound first￨amod class￨obj from￨case ci0￨obl to￨case ci1￨compound leav￨obl on￨case da0￨nmod after￨case ti0￨nummod o'clock￨obl in￨case the￨det morn￨nmod and￨cc befor￨conj ti1￨punct
i￨nsubj would￨aux like￨root inform￨xcomp on￨case ground￨compound transport￨obl in￨case ci0￨obl from￨case the￨det ap0￨compound airport￨obl to￨case the￨det citi￨obl in￨case the￨det morn￨compound around￨advmod ti0￨punct
