airport￨NN￨root￨ROOT
one￨CD￨nummod￨way way￨NN￨root￨ROOT
ci0￨NNP￨compound￨airport airport￨NN￨root￨ROOT
ground￨NN￨root￨ROOT ci0￨.￨punct￨ground
code￨NN￨compound￨al0 al0￨NN￨root￨ROOT
ci0￨NNP￨compound￨airport airport￨NN￨root￨ROOT
al0￨NNP￨root￨ROOT fn0￨NNP￨flat￨al0
describ￨NNP￨root￨ROOT ap0￨NNP￨flat￨describ
ground￨NN￨compound￨transport transport￨NN￨root￨ROOT ci0￨.￨punct￨transport
ground￨NN￨compound￨transport transport￨NN￨root￨ROOT ci0￨.￨punct￨transport
what￨WP￨root￨ROOT is￨VBZ￨cop￨what sa￨NNP￨appos￨what
what￨WP￨nsubj￨ap0 is￨VBZ￨cop￨ap0 ap0￨JJ￨root￨ROOT
what￨WP￨nsubj￨ap0 is￨VBZ￨cop￨ap0 ap0￨JJ￨root￨ROOT
onli￨UH￨discourse￨show show￨VB￨root￨ROOT al0￨.￨punct￨show
explain￨VB￨root￨ROOT restrict￨VB￨xcomp￨explain rc0￨.￨punct￨explain
i￨PRP￨nsubj￨like 'd￨MD￨aux￨like like￨VB￨root￨ROOT a￨DT￨det￨flight flight￨NN￨obj￨like from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨TO￨mark￨ci1 ci1￨VB￨advcl￨like that￨DT￨det￨arriv arriv￨NN￨obj￨ci1 in￨IN￨case￨ci1 ci1￨NNP￨obl￨ci1 in￨IN￨case￨afternoon the￨DT￨det￨afternoon late￨JJ￨amod￨afternoon afternoon￨NN￨obl￨ci1
could￨MD￨aux￨tell you￨PRP￨nsubj￨tell tell￨VB￨root￨ROOT me￨PRP￨obj￨tell what￨WDT￨det￨flight flight￨NN￨obj￨tell you￨PRP￨nsubj￨have have￨VBP￨acl:relcl￨flight that￨WDT￨nsubj￨run run￨VBP￨acl:relcl￨flight daili￨RB￨advmod￨run from￨IN￨case￨ci1 ci1￨NN￨obl￨run to￨IN￨case￨pleas ci0￨PRP$￨nmod:poss￨pleas pleas￨NNS￨obl￨run
i￨PRP￨nsubj￨need need￨VBP￨root￨ROOT a￨DT￨det￨ticket first￨JJ￨amod￨ticket class￨NN￨compound￨ticket ticket￨NN￨obj￨need on￨IN￨case￨al0 al0￨NN￨nmod￨ticket from￨IN￨case￨ci0 ci0￨NNP￨obl￨need to￨IN￨case￨schedul ci1￨NNP￨compound￨schedul schedul￨NN￨obl￨need for￨IN￨case￨mn0 mn0￨NN￨obl￨need dn0￨.￨punct￨need
what￨WP￨nsubj￨cheapest the￨DT￨det￨cheapest cheapest￨JJS￨root￨ROOT of￨IN￨case￨ci0 the￨DT￨det￨ci0 ci0￨NN￨obl￨cheapest to￨IN￨case￨flight ci1￨DT￨det￨flight flight￨NN￨nmod￨ci0 which￨WDT￨nsubj￨ti0 are￨VBP￨cop￨ti0 after￨IN￨case￨ti0 ti0￨NN￨acl:relcl￨flight in￨IN￨case￨afternoon the￨DT￨det￨afternoon afternoon￨NN￨obl￨ti0
could￨MD￨aux￨have i￨PRP￨nsubj￨have have￨VB￨root￨ROOT a￨DT￨det￨list list￨NN￨obj￨have of￨IN￨case￨leav flight￨NN￨compound￨leav leav￨NN￨nmod￨list ci0￨TO￨mark￨go go￨VB￨acl￨list to￨IN￨case￨da0 ci1￨NNP￨compound￨da0 leav￨NN￨compound￨da0 da0￨NN￨obl￨go after￨RB￨advmod￨go ti0￨.￨punct￨have
on￨IN￨case￨m m￨CD￨obl￨like n￨IN￨case￨0 0￨CD￨nmod￨m dn0￨,￨punct￨like i￨PRP￨nsubj￨like would￨MD￨aux￨like like￨VB￨root￨ROOT to￨TO￨mark￨book book￨VB￨xcomp￨like an￨DT￨det￨flight earli￨NNP￨compound￨flight morn￨NN￨compound￨flight flight￨NN￨obj￨book from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨obl￨book
i￨PRP￨nsubj￨need need￨VBP￨root￨ROOT a￨DT￨det￨flight flight￨NN￨obj￨need from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨obl￨need and￨CC￨cc￨arriv this￨DT￨det￨flight flight￨NN￨nsubj￨arriv should￨MD￨aux￨arriv arriv￨VB￨conj￨need at￨IN￨case￨pleas ti0￨DT￨det￨pleas pleas￨NNS￨obl￨arriv
i￨PRP￨nsubj￨like 'd￨MD￨aux￨like like￨VB￨root￨ROOT a￨DT￨det￨flight flight￨NN￨obj￨like from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨stop ci1￨DT￨det￨stop stop￨VB￨obl￨like in￨IN￨case￨ci2 ci2￨NN￨obl￨stop and￨CC￨cc￨serv serv￨NN￨conj￨ci2 dinner￨NN￨obl￨stop what￨WP￨nsubj￨avail avail￨VBP￨acl:relcl￨dinner
pleas￨NNS￨nsubj￨find find￨VBP￨root￨ROOT me￨PRP￨iobj￨find a￨DT￨det￨flight flight￨NN￨obj￨find between￨IN￨case￨ci0 ci0￨NN￨nmod￨flight and￨CC￨cc￨ci1 ci1￨NN￨conj￨ci0 that￨WDT￨nsubj￨arriv arriv￨VBP￨acl:relcl￨flight in￨IN￨case￨ci1 ci1￨NN￨obl￨arriv close￨JJ￨xcomp￨arriv to￨IN￨obl￨close ti0￨.￨punct￨find
i￨PRP￨nsubj￨need need￨VBP￨root￨ROOT a￨DT￨det￨flight flight￨NN￨obj￨need from￨IN￨case￨california ci0￨NNP￨compound￨california california￨NNP￨nmod￨flight to￨IN￨mark￨ci1 ci1￨VB￨advcl￨need indiana￨NNP￨compound￨leav leav￨NN￨obj￨ci1 in￨IN￨case￨afternoon the￨DT￨det￨afternoon afternoon￨NN￨obl￨ci1 on￨IN￨case￨da0 da0￨NNP￨obl￨ci1
i￨PRP￨nsubj￨need need￨VBP￨root￨ROOT to￨TO￨mark￨fli fli￨VB￨xcomp￨need from￨IN￨case￨ci1 ci1￨NNP￨obl￨fli to￨IN￨case￨ci2 ci2￨NNP￨obl￨fli and￨CC￨cc￨ci0 then￨RB￨advmod￨ci0 to￨TO￨mark￨ci0 ci0￨VB￨conj￨fli and￨CC￨cc￨back back￨RB￨conj￨ci0 to￨IN￨obl￨ci0 ci1￨.￨punct￨need
i￨PRP￨nsubj￨need need￨VBP￨root￨ROOT inform￨VB￨xcomp￨need on￨IN￨case￨arriv flight￨NN￨compound￨leav leav￨NN￨compound￨arriv ci0￨NN￨compound￨arriv arriv￨NN￨obl￨inform in￨IN￨case￨earli ci1￨NNP￨compound￨earli leav￨NN￨compound￨ci0 ci0￨NN￨compound￨earli earli￨NN￨obl￨inform in￨IN￨case￨morn the￨DT￨det￨morn morn￨NN￨obl￨inform
i￨PRP￨nsubj￨like 'd￨MD￨aux￨like like￨VB￨root￨ROOT to￨TO￨mark￨travel travel￨VB￨xcomp￨like from￨IN￨case￨ci0 ci0￨NNP￨obl￨travel to￨TO￨mark￨ci1 ci1￨VB￨advcl￨travel on￨IN￨case￨pleas al0￨NNP￨compound￨pleas fn0￨NNP￨compound￨pleas pleas￨NNS￨obl￨ci1 tell￨VB￨advcl￨ci1 me￨PRP￨iobj￨tell the￨DT￨det￨time time￨NN￨obj￨tell
pleas￨NNS￨nsubj￨show show￨VBP￨root￨ROOT me￨PRP￨iobj￨show ani￨NN￨compound￨al0 al0￨NN￨obj￨show includ￨TO￨mark￨connect connect￨VB￨acl￨al0 between￨IN￨case￨ci1 ci1￨NN￨obl￨connect and￨CC￨cc￨ci0 ci0￨NN￨conj￨ci1 at￨IN￨case￨ti0 ti0￨NN￨obl￨connect in￨IN￨case￨even the￨DT￨det￨even even￨RB￨advmod￨ti0
show￨VB￨root￨ROOT me￨PRP￨iobj￨show the￨DT￨det￨flight flight￨NN￨obj￨show that￨WDT￨nsubj￨go go￨VBP￨acl:relcl￨flight from￨IN￨case￨ci0 ci0￨NN￨obl￨go to￨IN￨case￨jersey ci1￨DT￨det￨jersey new￨JJ￨amod￨jersey jersey￨NN￨obl￨go by￨IN￨case￨way way￨NN￨obl￨go of￨IN￨case￨ci2 ci2￨NNP￨nmod￨way
give￨VB￨root￨ROOT me￨PRP￨iobj￨give the￨DT￨det￨flight earliest￨JJS￨amod￨flight flight￨NN￨obj￨give tomorrow￨NN￨obl:tmod￨give from￨IN￨case￨ci0 ci0￨NNP￨obl￨give to￨IN￨case￨ci1 ci1￨NNP￨obl￨give on￨IN￨case￨other a￨DT￨det￨airlin airlin￨NN￨obl￨other other￨JJ￨obl￨give than￨IN￨case￨al0 al0￨NNP￨obl￨other
what￨WDT￨det￨type type￨NN￨nsubj￨use of￨IN￨case￨aircraft aircraft￨NN￨nmod￨type are￨VBP￨aux￨use use￨VB￨root￨ROOT on￨IN￨case￨flight flight￨NN￨obl￨use from￨IN￨case￨ci0 ci0￨NNP￨obl￨use to￨TO￨mark￨ci1 ci1￨VB￨advcl￨use that￨WDT￨nmod:poss￨leav leav￨NN￨obj￨ci1 befor￨RB￨advmod￨ci1 ti0￨.￨punct￨use
i￨PRP￨nsubj￨tri 'm￨VBP￨cop￨tri tri￨JJ￨root￨ROOT to￨TO￨mark￨make make￨VB￨xcomp￨tri a￨DT￨det￨connect connect￨NN￨obj￨make between￨IN￨case￨fli ci1￨NNP￨compound￨fli and￨CC￨cc￨fli ci0￨NN￨conj￨ci1 doe￨NN￨compound￨al0 al0￨NN￨compound￨fli fli￨NN￨nmod￨connect between￨IN￨case￨two those￨DT￨det￨two two￨CD￨nmod￨fli
i￨PRP￨nsubj￨like 'd￨MD￨aux￨like like￨VB￨root￨ROOT a￨DT￨det￨flight flight￨NN￨obj￨like from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨obl￨like as￨RB￨advmod￨earli earli￨RB￨advmod￨like in￨IN￨case￨morn the￨DT￨det￨morn morn￨NN￨obl￨like al0￨CC￨cc￨can i￨PRP￨nsubj￨can can￨MD￨conj￨like
show￨VB￨root￨ROOT me￨PRP￨obj￨show airlin￨TO￨mark￨go go￨VB￨xcomp￨show from￨IN￨obl￨go ci1￨CC￨cc￨go go￨VB￨conj￨show to￨IN￨case￨ci2 ci2￨NN￨obl￨go and￨CC￨cc￨continu then￨RB￨advmod￨continu continu￨VB￨conj￨go to￨TO￨mark￨ci0 ci0￨VB￨xcomp￨continu on￨RB￨advmod￨ci0 da0￨.￨punct￨show
i￨PRP￨nsubj￨like would￨MD￨aux￨like like￨VB￨root￨ROOT an￨DT￨det￨flight earli￨JJ￨amod￨flight morn￨NN￨compound￨flight flight￨NN￨obj￨like on￨IN￨case￨dn0 mn0￨NNP￨nmod￨flight dn0￨NN￨nmod￨flight from￨IN￨case￨ci0 ci0￨NNP￨obl￨like into￨IN￨case￨ci1 ci1￨NNP￨obl￨like on￨IN￨case￨al0 al0￨NNP￨obl￨like
i￨PRP￨nsubj￨like would￨MD￨aux￨like like￨VB￨root￨ROOT a￨DT￨det￨flight flight￨NN￨obj￨like from￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight to￨TO￨mark￨ci0 ci0￨VB￨advcl￨like on￨IN￨case￨al0 al0￨NNP￨obl￨ci0 with￨IN￨case￨stop a￨DT￨det￨stop stop￨NN￨obl￨ci0 in￨IN￨nmod￨stop ci2￨.￨punct￨like
what￨WP￨root￨ROOT the￨DT￨det￨flight cheapest￨JJS￨amod￨flight flight￨NN￨nsubj￨what from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight for￨IN￨case￨way both￨CC￨cc:preconj￨way one￨CD￨nummod￨way way￨NN￨nmod￨flight and￨CC￨cc￨flight round￨JJ￨amod￨trip trip￨NN￨compound￨flight flight￨NN￨conj￨way
list￨NN￨compound￨flight flight￨NN￨root￨ROOT from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨TO￨case￨ci1 ci1￨NNP￨nmod￨flight with￨IN￨case￨fare the￨DT￨det￨fare lowest￨JJS￨amod￨fare one￨CD￨nummod￨way way￨NN￨compound￨fare fare￨NN￨nmod￨flight that￨WDT￨nsubj￨leav leav￨VBP￨acl:relcl￨fare on￨IN￨case￨da0 da0￨NN￨obl￨leav
show￨VB￨root￨ROOT me￨PRP￨iobj￨show all￨DT￨det￨flight flight￨NN￨obj￨show from￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight to￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight which￨WDT￨nsubj￨leav leav￨VBZ￨acl:relcl￨flight ci1￨NN￨obj￨leav after￨IN￨case￨pm ti0￨CD￨nummod￨pm o'clock￨CD￨nummod￨pm pm￨NN￨obl￨leav tomorrow￨NN￨nmod:npmod￨pm
show￨VB￨root￨ROOT me￨PRP￨iobj￨show all￨PDT￨det:predet￨flight the￨DT￨det￨flight flight￨NN￨obj￨show on￨IN￨case￨al0 al0￨NNP￨nmod￨flight and￨CC￨cc￨al1 al1￨NN￨conj￨al0 that￨WDT￨nsubj￨go go￨VBP￨acl:relcl￨flight to￨IN￨case￨ci0 ci0￨NN￨obl￨go in￨IN￨case￨morn the￨DT￨det￨morn morn￨NN￨obl￨go
i￨PRP￨nsubj￨like would￨MD￨aux￨like like￨VB￨root￨ROOT inform￨VB￨xcomp￨like on￨IN￨case￨flight flight￨NN￨obl￨inform from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨arriv ci1￨NNP￨compound￨arriv arriv￨NN￨obl￨inform in￨IN￨case￨ci1 ci1￨NNP￨nmod￨arriv on￨IN￨case￨morn da0￨NNP￨compound￨morn morn￨NN￨obl￨inform
the￨DT￨det￨flight cheapest￨JJS￨amod￨flight flight￨NN￨root￨ROOT between￨IN￨case￨ci0 ci0￨NN￨nmod￨flight and￨CC￨cc￨ci1 ci1￨NN￨conj￨ci0 which￨WDT￨nsubj￨arriv arriv￨VBP￨acl:relcl￨flight between￨IN￨case￨ti0 ti0￨NN￨obl￨arriv and￨CC￨cc￨o'clock ti1￨CD￨nummod￨o'clock o'clock￨NN￨conj￨ti0 on￨IN￨case￨da0 da0￨NNP￨nmod￨o'clock
what￨WP￨nsubj￨go al0￨MD￨aux￨go go￨VB￨root￨ROOT from￨IN￨case￨ci0 ci0￨NN￨obl￨go to￨IN￨case￨ci1 ci1￨NNP￨obl￨go befor￨TO￨mark￨ti0 ti0￨VB￨advcl￨go in￨IN￨case￨morn the￨DT￨det￨morn morn￨NN￨obl￨ti0 that￨WDT￨nsubj￨have have￨VBP￨acl:relcl￨morn a￨DT￨det￨meal meal￨NN￨obj￨have
what￨WP￨root￨ROOT is￨VBZ￨cop￨what the￨DT￨det￨fare cheapest￨JJS￨amod￨fare first￨JJ￨amod￨class class￨NN￨compound￨fare fare￨NN￨nsubj￨what from￨IN￨case￨ci0 ci0￨NNP￨nmod￨fare to￨IN￨case￨ci1 ci1￨NNP￨nmod￨fare on￨IN￨case￨al0 al0￨NNP￨nmod￨fare on￨IN￨case￨mn0 mn0￨NNP￨nmod￨al0 dn0￨.￨punct￨what
show￨VB￨root￨ROOT me￨PRP￨iobj￨show the￨DT￨det￨flight last￨JJ￨amod￨flight flight￨NN￨obj￨show avail￨VB￨xcomp￨show in￨IN￨case￨ci0 the￨DT￨det￨ci0 even￨RB￨advmod￨ci0 from￨IN￨case￨ci0 ci0￨NN￨obl￨avail to￨IN￨case￨ci1 ci1￨NNP￨obl￨avail on￨IN￨case￨mn0 mn0￨NNP￨obl￨avail dn0￨.￨punct￨show
i￨PRP￨nsubj￨like 'd￨MD￨aux￨like like￨VB￨root￨ROOT to￨TO￨mark￨find find￨VB￨xcomp￨like a￨DT￨det￨flight flight￨NN￨obj￨find from￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight to￨IN￨case￨ci2 ci2￨NNP￨obl￨find that￨WDT￨nsubj￨make make￨VB￨acl:relcl￨flight a￨DT￨det￨stop stop￨NN￨obj￨make in￨IN￨nmod￨stop ci0￨.￨punct￨like
show￨VB￨root￨ROOT me￨PRP￨iobj￨show the￨DT￨det￨flight earliest￨JJS￨amod￨flight flight￨NN￨obj￨show on￨IN￨case￨mn mn￨NNP￨compound￨dn0 0￨CD￨nummod￨mn dn0￨NN￨nmod￨flight from￨IN￨case￨ci0 ci0￨NN￨nmod￨dn0 to￨TO￨mark￨ci1 ci1￨VB￨advcl￨show that￨DT￨det￨serv serv￨NN￨obj￨ci1 a￨DT￨det￨meal meal￨NN￨obj￨ci1
show￨VB￨root￨ROOT me￨PRP￨iobj￨show a￨DT￨det￨list list￨NN￨obj￨show of￨IN￨case￨flight flight￨NN￨nmod￨list from￨IN￨case￨ci0 ci0￨NN￨nmod￨list to￨IN￨case￨arriv ci1￨NNP￨compound￨arriv arriv￨NN￨obl￨show befor￨IN￨case￨ti0 ti0￨NN￨obl￨show on￨IN￨case￨mn0 mn0￨NN￨nmod￨ti0 dn0￨.￨punct￨show
i￨PRP￨nsubj￨need need￨VBP￨root￨ROOT to￨TO￨mark￨fli fli￨VB￨xcomp￨need from￨IN￨case￨ci0 ci0￨NNP￨obl￨fli to￨IN￨case￨thing ci1￨DT￨det￨thing first￨JJ￨amod￨thing thing￨NN￨obl￨fli in￨IN￨case￨morn the￨DT￨det￨morn morn￨NN￨obl￨fli what￨WP￨nsubj￨there is￨VBZ￨cop￨there there￨RB￨acl:relcl￨morn
what￨WP￨root￨ROOT is￨VBZ￨cop￨what the￨DT￨det￨schedul schedul￨NN￨nsubj￨what for￨IN￨case￨flight flight￨NN￨nmod￨schedul between￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight and￨CC￨cc￨ci1 ci1￨NN￨conj￨ci0 on￨IN￨case￨mn0 the￨DT￨det￨mn0 even￨RB￨advmod￨mn0 of￨IN￨case￨mn0 mn0￨NN￨nmod￨schedul dn0￨.￨punct￨what
could￨MD￨aux￨list you￨PRP￨nsubj￨list list￨VB￨root￨ROOT for￨IN￨case￨me me￨PRP￨obl￨list the￨DT￨det￨flight flight￨NN￨obj￨list that￨WDT￨nsubj￨leav leav￨VBP￨acl:relcl￨flight ci0￨VBP￨acl:relcl￨flight on￨IN￨case￨da0 da0￨NN￨obl￨ci0 and￨CC￨cc￨arriv arriv￨VBP￨conj￨ci0 in￨IN￨case￨ci1 ci1￨NNP￨obl￨arriv
can￨MD￨aux￨get i￨PRP￨nsubj￨get get￨VB￨root￨ROOT from￨IN￨case￨ci1 ci1￨NNP￨obl￨get to￨IN￨case￨leav ci0￨NNP￨compound￨leav leav￨NN￨obl￨get in￨IN￨case￨morn the￨DT￨det￨morn morn￨NN￨obl￨get and￨CC￨cc￨arriv arriv￨VB￨conj￨get in￨IN￨case￨morn the￨DT￨det￨morn morn￨NN￨obl￨arriv
list￨VB￨root￨ROOT all￨DT￨det￨flight flight￨NN￨obj￨list from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨obl￨list on￨IN￨case￨al0 al0￨NN￨obl￨list which￨WDT￨nsubj￨depart depart￨VBP￨acl:relcl￨flight on￨IN￨case￨meal da0￨NN￨compound￨meal and￨CC￨cc￨serv serv￨NN￨conj￨da0 meal￨NN￨obl￨depart
what￨WP￨root￨ROOT is￨VBZ￨cop￨what first￨JJ￨amod￨flight flight￨NN￨nsubj￨what from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight on￨IN￨case￨dn0 da0￨DT￨det￨dn0 mn0￨NN￨compound￨dn0 dn0￨NN￨nmod￨flight that￨WDT￨nsubj￨leav leav￨VBP￨acl:relcl￨dn0 after￨RB￨advmod￨leav ti0￨.￨punct￨what
can￨MD￨aux￨show you￨PRP￨nsubj￨show show￨VB￨root￨ROOT me￨PRP￨iobj￨show the￨DT￨det￨list list￨NN￨obj￨show of￨IN￨case￨flight flight￨NN￨nmod￨list that￨WDT￨nsubj￨fli fli￨VBZ￨acl:relcl￨list from￨IN￨case￨ci1 ci1￨NNP￨obl￨fli to￨TO￨mark￨ci0 ci0￨VB￨advcl￨fli via￨IN￨case￨ci2 ci2￨NNP￨obl￨ci0
show￨VB￨root￨ROOT me￨PRP￨iobj￨show the￨DT￨det￨flight shortest￨JJS￨amod￨flight flight￨NN￨obj￨show from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight which￨WDT￨nsubj￨arriv arriv￨VBZ￨acl:relcl￨flight in￨IN￨case￨da0 ci1￨DT￨det￨da0 da0￨NN￨obl￨arriv befor￨RB￨advmod￨arriv ti0￨.￨punct￨show
show￨VB￨root￨ROOT me￨PRP￨iobj￨show the￨DT￨det￨flight flight￨NN￨obj￨show from￨IN￨case￨ci1 ci1￨NNP￨nmod￨flight to￨IN￨case￨ci2 ci2￨NNP￨obl￨show or￨CC￨cc￨ci0 ci0￨VB￨conj￨show that￨WDT￨obj￨ci0 arriv￨NN￨obj￨ci0 befor￨RB￨advmod￨ci0 or￨CC￨cc￨around around￨RB￨conj￨befor ti0￨.￨punct￨show
what￨WP￨obj￨restrict are￨VBP￨aux￨restrict the￨DT￨det￨air air￨NN￨nsubj￨restrict restrict￨VB￨root￨ROOT on￨IN￨case￨flight flight￨NN￨obl￨restrict from￨IN￨case￨ci0 ci0￨NNP￨obl￨restrict to￨IN￨case￨ci1 ci1￨NNP￨obl￨restrict for￨IN￨case￨airfar the￨DT￨det￨airfar airfar￨NN￨obl￨restrict of￨IN￨case￨do0 do0￨NN￨nmod￨airfar
i￨PRP￨nsubj￨need need￨VBP￨root￨ROOT a￨DT￨det￨flight flight￨NN￨obj￨need from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight to￨TO￨mark￨ci1 ci1￨VB￨advcl￨need on￨IN￨case￨dn0 mn0￨DT￨det￨dn0 dn0￨NN￨obl￨ci1 that￨WDT￨nsubj￨leav leav￨VBP￨acl:relcl￨dn0 in￨IN￨case￨afternoon the￨DT￨det￨afternoon afternoon￨NN￨obl￨leav
i￨PRP￨nsubj￨want want￨VBP￨root￨ROOT to￨TO￨mark￨travel travel￨VB￨xcomp￨want from￨IN￨case￨ci0 ci0￨NNP￨obl￨travel to￨TO￨mark￨ci1 ci1￨VB￨advcl￨travel around￨RB￨advmod￨ci1 ti0￨WP￨obj￨give could￨MD￨aux￨give you￨PRP￨nsubj￨give give￨VB￨parataxis￨want me￨PRP￨iobj￨give the￨DT￨det￨flight flight￨NN￨obj￨give
find￨VB￨root￨ROOT a￨DT￨det￨flight nonstop￨JJ￨amod￨flight flight￨NN￨obj￨find between￨IN￨case￨leav ci0￨NNP￨compound￨leav and￨CC￨cc￨ci1 ci1￨NNP￨conj￨ci0 leav￨NN￨nmod￨flight in￨IN￨case￨afternoon the￨DT￨det￨afternoon afternoon￨NN￨obl￨find and￨CC￨cc￨arriv arriv￨VB￨conj￨find near￨RB￨advmod￨arriv ti0￨.￨punct￨find
what￨WP￨root￨ROOT are￨VBP￨cop￨what the￨DT￨det￨flight coach￨NN￨compound￨flight flight￨NN￨nsubj￨what between￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight and￨CC￨cc￨ci1 ci1￨NN￨conj￨ci0 leav￨VB￨acl￨flight mn0￨NN￨compound￨dn0 dn0￨NN￨obj￨leav and￨CC￨cc￨return return￨VB￨conj￨leav mn0￨IN￨case￨dn dn￨NN￨obl￨return 1￨CD￨nummod￨dn
what￨WP￨root￨ROOT is￨VBZ￨cop￨what the￨DT￨det￨flight earliest￨JJS￨amod￨flight al0￨NN￨compound￨flight flight￨NN￨nsubj￨what that￨WDT￨obj￨get i￨PRP￨nsubj￨get can￨MD￨aux￨get get￨VB￨acl:relcl￨flight first￨JJ￨amod￨class class￨NN￨obj￨get from￨IN￨case￨ci0 ci0￨NN￨obl￨get to￨IN￨case￨ci1 ci1￨NNP￨obl￨get
what￨WDT￨det￨flight flight￨NN￨obj￨have do￨VBP￨aux￨have you￨PRP￨nsubj￨have have￨VB￨root￨ROOT from￨IN￨case￨ci0 ci0￨NN￨obl￨have to￨TO￨mark￨ci1 ci1￨VB￨advcl￨have on￨IN￨case￨da0 da0￨NN￨obl￨ci1 of￨IN￨case￨week next￨JJ￨amod￨week week￨NN￨nmod￨da0 after￨RB￨advmod￨ci1 ti0￨.￨punct￨have
what￨WDT￨det￨kind kind￨NN￨nsubj￨use of￨IN￨case￨al0 aircraft￨NN￨compound￨al0 doe￨NN￨compound￨al0 al0￨NN￨nmod￨kind use￨VBP￨root￨ROOT befor￨TO￨mark￨ti0 ti0￨VB￨xcomp￨use on￨IN￨case￨dn0 m￨NN￨compound￨dn0 n0￨NN￨compound￨dn0 dn0￨NN￨obl￨ti0 from￨IN￨case￨ci0 ci0￨NN￨obl￨ti0 to￨IN￨case￨ci1 ci1￨NNP￨nmod￨ci0
list￨VB￨root￨ROOT the￨DT￨det￨flight flight￨NN￨obj￨list and￨CC￨cc￨time time￨NN￨conj￨flight of￨IN￨case￨arriv arriv￨NN￨nmod￨flight for￨IN￨case￨arriv flight￨NN￨compound￨arriv arriv￨NNS￨nmod￨flight in￨IN￨case￨ci0 ci0￨NN￨obl￨list from￨IN￨case￨ci1 ci1￨NNP￨nmod￨ci0 befor￨RB￨advmod￨list ti0￨.￨punct￨list
i￨PRP￨nsubj￨like would￨MD￨aux￨like like￨VB￨root￨ROOT to￨TO￨mark￨book book￨VB￨xcomp￨like a￨DT￨det￨flight flight￨NN￨obj￨book from￨IN￨case￨ci0 ci0￨NNP￨nmod￨flight into￨IN￨case￨ci1 ci1￨NNP￨obl￨book on￨IN￨case￨dn0 mn0￨NNP￨compound￨dn0 dn0￨NN￨obl￨book on￨IN￨case￨al0 al0￨NNP￨obl￨book
show￨VB￨root￨ROOT me￨PRP￨iobj￨show all￨DT￨det￨flight flight￨NN￨obj￨show between￨IN￨case￨ci0 ci0￨NNS￨nmod￨flight and￨CC￨cc￨ci1 ci1￨VB￨conj￨show on￨IN￨case￨dn0 mn0￨DT￨det￨dn0 dn0￨NN￨obl￨ci1 with￨IN￨case￨time departur￨JJ￨amod￨time time￨NN￨obl￨ci1 after￨RB￨advmod￨ci1 ti0￨.￨punct￨show
is￨VBZ￨root￨ROOT there￨EX￨expl￨is a￨DT￨det￨flight flight￨NN￨nsubj￨is in￨IN￨case￨afternoon the￨DT￨det￨afternoon afternoon￨NN￨nmod￨flight from￨IN￨case￨ci0 ci0￨NN￨nmod￨flight that￨WDT￨nsubj￨arriv arriv￨VBP￨acl:relcl￨flight in￨IN￨case￨ci1 the￨DT￨det￨ci1 even￨RB￨advmod￨ci1 in￨IN￨case￨ci1 ci1￨NNP￨obl￨arriv
pleas￨NNS￨nsubj￨give give￨VB￨root￨ROOT me￨PRP￨iobj￨give a￨DT￨det￨list list￨NN￨obj￨give of￨IN￨case￨flight all￨PDT￨det:predet￨flight the￨DT￨det￨flight flight￨NN￨nmod￨list between￨IN￨case￨ci0 ci0￨NNS￨nmod￨flight and￨CC￨cc￨ci1 ci1￨NN￨conj￨ci0 and￨CC￨cc￨cost their￨PRP$￨nmod:poss￨cost cost￨NN￨conj￨ci0
show￨VB￨root￨ROOT me￨PRP￨iobj￨show flight￨NN￨obj￨show on￨IN￨case￨da0 da0￨NN￨nmod￨flight go￨VB￨parataxis￨show from￨IN￨case￨ci0 ci0￨NN￨obl￨go to￨IN￨case￨leav ci1￨DT￨det￨leav nonstop￨JJ￨amod￨leav first￨JJ￨amod￨class class￨NN￨compound￨leav leav￨NN￨obl￨go after￨RB￨advmod￨go ti0￨.￨punct￨show
